"Gene.ID","chromosome_name","start_position","end_position","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"ENSG00000000003","chrX",100627108,100639991,"ENSG00000000003",568.531550311784,-0.290353325366703,0.126143480002463,-2.30177037577395,0.0213481250179384,0.0596142743951952,"TSPAN6"
"ENSG00000000419","chr20",50934852,50959140,"ENSG00000000419",3024.93792328337,0.0891282205258045,0.0789213124892859,1.12933018616365,0.258758571493557,0.40767527669188,"DPM1"
"ENSG00000000457","chr1",169846981,169894267,"ENSG00000000457",65.7412409142479,0.304181981739192,0.312722916087776,0.972688492242806,0.330708146372176,0.486400859793222,"SCYL3"
"ENSG00000000460","chr1",169662007,169855456,"ENSG00000000460",404.369621561074,-0.256422066677056,0.147214730297263,-1.74182343138677,0.0815393453054905,0.168878329802333,"C1orf112"
"ENSG00000001036","chr6",143493961,143511842,"ENSG00000001036",2665.73117535412,-0.0481428445824728,0.097010879137767,-0.496262326559315,0.619709342502705,0.747443607806048,"FUCA2"
"ENSG00000001084","chr6",53497341,53616970,"ENSG00000001084",2025.65060572362,-0.607959677583738,0.121526350684864,-5.0026983790558,5.65333571073805e-07,5.63907587289973e-06,"GCLC"
"ENSG00000001167","chr6",41072946,41102403,"ENSG00000001167",1042.3679749347,-0.156735405047949,0.124606572058579,-1.25784220253058,0.208448829654785,0.347291954707531,"NFYA"
"ENSG00000001460","chr1",24355886,24416934,"ENSG00000001460",118.525926859477,9.99199458048072,1.20428903990633,8.29700698866935,1.06767100186736e-16,4.16833720123948e-15,"STPG1"
"ENSG00000001461","chr1",24413527,24476735,"ENSG00000001461",518.97013135702,1.37898587981753,0.14408832711979,9.57042050096875,1.06471737942852e-21,6.55898007759508e-20,"NIPAL3"
"ENSG00000001497","chrX",65438549,65534818,"ENSG00000001497",813.215469032138,0.255222905891943,0.101876371843228,2.505221782777,0.0122374631987,0.0376742996868065,"LAS1L"
"ENSG00000001561","chr6",46129964,46146699,"ENSG00000001561",537.866861327597,-0.315004289313279,0.204917678705154,-1.53722358804642,0.124238565929311,0.23447960558151,"ENPP4"
